,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type
0,21 - Desktop Support Technician,32000.0,78000.0,1.0,0.0,0.0,PayPal,3.9,26.0,9.0,Full-time,"healthinsurance,dentalinsurance,lifeinsurance,visioninsurance","it,mcp,computerscience,mcitp,2years,bachelor'sdegree,mcse",https://www.simplyhired.com/job/pE0v8mYHrd0RXVmO53atqpCsPI2do0QN_Zucty6jiJwF1VYkxeEhrQ,Others,,,7,4,55000.0,1
1,Operations Associate (entry-level),60000.0,80000.0,0.0,0.0,1.0,Databento,,,,nan,"healthinsurance,disabilityinsurance,401(k)matching,dentalinsurance,lifeinsurance,401(k)","writingskills,sales,finance,figma,under1year,training&development,ats,lever,machinelearning,organizationalskills,softwaredevelopment,apis,bachelor'sdegree,marketing,communicationskills,quickbooks,canva",https://www.simplyhired.com/job/UhRG9kuufwPfvqLAMsc8AXIW_Y2a5AFXQYRZxTiv0m2oxZ2qc-KGnQ,Others,junior,,17,6,70000.0,0
2,IT Helpdesk Remote Support; Support Specialist I,35100.0,44500.0,0.0,0.0,1.0,Liberty University,3.8,,,Full-time,nan,"computerskills,customerservice,microsoftword,microsoftoffice,microsoftexcel,associate'sdegree,computerscience,microsoftpowerpoint,communicationskills,1year,softwaretroubleshooting",https://www.simplyhired.com/job/G03Xkf3I0D3Xngdurv3YiFJSYZAqXz0ahtS9RODEwVyoM4hlAS7ZXA,IT Engineer,,Remote,11,0,39800.0,1
3,IT Support Specialist II - $5000 - Remote,,60000.0,0.0,1.0,0.0,Gold Alliance,4.7,4.0,10.0,Full-time,"healthinsurance,paidtimeoff,on-the-jobtraining,workfromhome,401(k)","azure,customerservice,it,dns,computerscience,3years,management,itsupport,2years,bachelor'sdegree,apis,softwaretroubleshooting",https://www.simplyhired.com/job/5wPI9EftH0tZxN7ZF7Sj5FZAE---pTtN2ET8JW07WOirCRpNCRu5Jw,IT Engineer,,Remote,12,5,,1
4,IT Help Desk Technician,41700.0,52800.0,0.0,0.0,1.0,Advanced Computer Solutions,5.0,,,Full-time,nan,"english,computerskills,mobiledevices,bachelorofscience,communicationskills,bachelor'sdegree,softwaretroubleshooting",https://www.simplyhired.com/job/9kinGpt9ZFmjYb-B0sohOJ8qXdCTNsA91yECnJjcDEQoPv_JY4xiOA,IT Engineer,,,7,0,47250.0,1
5,QA Test Analyst (contract-to-hire),40000.0,80000.0,1.0,0.0,0.0,Nooks,,,,Full-time,nan,"computerengineering,customerservice,softwareengineering,computerscience,softwaretesting,conversionoptimization,ai,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/xDLywHLrlotpdd5ckR_p9cMcvytQ827TD7voTXyu-HjzzcHb90LT8A,Analyst,,,9,0,60000.0,1
6,Service Desk Analyst (Remote Opportunity),53100.0,67200.0,0.0,0.0,1.0,VetsEZ,4.6,5.0,10.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,401(k)","english,customerservice,writingskills,computerscience,bachelor'sdegree",https://www.simplyhired.com/job/QtD12QFpLqe4J6W64RTxIFqGhEy_klNfKb3dxHRTEYRAS4mwQfRsJA,Analyst,,Remote,5,6,60150.0,1
7,Junior Developer,,,,,,Jeeter,2.9,4.0,10.0,Full-time,nan,"computerengineering,bachelor'sdegree,visualbasic,computerscience,visualstudio,analysisskills,communicationskills,softwareengineering,apis",https://www.simplyhired.com/job/7WRkwfprh9J2V6McdcKzfMKuIIT0UQfSs-U8hKKymGA_BgI5eOD8TA,Software Developer,junior,,9,0,,1
8,Manual Tester,55730.0,103500.0,0.0,0.0,1.0,Tista Science and Technology Corporation,3.8,,,Full-time,"healthinsurance,militaryleave,paidmilitaryleave,disabilityinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,healthsavingsaccount,lifeinsurance,paidtraining,401(k),flexiblespendingaccount","oracle,agile,microsoftexcel,computerscience,5years,sql,jira,regressionanalysis,management,sdlc,communicationskills,bachelor'sdegree,databases,softwaretroubleshooting,timemanagement",https://www.simplyhired.com/job/zpJ83Fr3l3Dl9krCZ5HHi8v4uIzc4zQc4_AOiuNar30FcyviJxJ-qw,Others,,,15,13,79615.0,1
9,Software Tester,70000.0,88000.0,0.0,0.0,1.0,"Tactical Edge, Inc.",,,,Full-time,"healthinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,professionaldevelopmentassistance,dentalinsurance,lifeinsurance,referralprogram,employeediscount,visioninsurance,401(k),flexiblespendingaccount","testautomation,it,ui,iat,computerscience,5years,secretclearance,sql,iatlevelii,management,softwaretesting,versionone,bachelor'sdegree,1year",https://www.simplyhired.com/job/h7Lugd7c0GRnG_h0xbHe3avhKYV8D2Ian-71SpR08gVoOwj49O9hLg,Others,,,14,13,79000.0,1
10,Data Technician,45600.0,57800.0,0.0,0.0,1.0,Land Intelligence Inc,,4.0,10.0,Full-time,"healthinsurance,401(k)matching,profitsharing,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,401(k)","microsoftexcel,computerscience,sql,tableau,analysisskills,datavisualization,communicationskills,bachelor'sdegree,powerbi",https://www.simplyhired.com/job/4A6iwkZM-R1QGJ_HgEKP8zZ-DzLMeDXfKhcTjj_5Y2ya8V2mP4z-HA,Others,,,9,8,51700.0,1
11,Software Engineer,80100.0,101000.0,0.0,0.0,1.0,Tree Top Staffing LLC,,6.0,10.0,Full-time,nan,"under1year,computerscience,analysisskills,communicationskills,bachelor'sdegree,databases,softwaretroubleshooting,relationaldatabases",https://www.simplyhired.com/job/PNemYniB7PNCeutoflztqHuaBv_d5D3Asm-RL_cRJoZWGXC7NmYGAA,Software Engineer,,,8,0,90550.0,1
12,Data Analyst,,,,,,ScribeAmerica,3.1,23.0,9.0,Full-time,nan,"warehouseexperience,datamodeling,analytics,computerscience,regressionanalysis,kafka,apachehive,bachelor'sdegree,statistics,postgresql,cassandra,datawarehouse,microsoftexcel,python,tableau,redshift,azure,computerskills,mysql,sql,etl,scripting",https://www.simplyhired.com/job/97Ac1Cv7aTQkAzd_cvXunvbowI6B0s4GIX0VArcVB7M6SJFdM9vUOA,Analyst,,,22,0,,1
13,Manual Tester,65000.0,105000.0,0.0,0.0,1.0,GeekSI,5.0,,,Full-time,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,lifeinsurance,visioninsurance,401(k)","scrum,azure,masterofbusinessadministration,it,agile,webservices,microsoftoffice,businessadministration,informationsystems,computerscience,business,jira,sdlc,2years,master'sdegree,bachelor'sdegree,1year,apis",https://www.simplyhired.com/job/EdGyMaLirMShgMkk_wQRvqzK1vLiyyDc18qkvHx-k5iqYx7sHT1bhQ,Others,,,18,7,85000.0,1
14,Data Solutions Analyst II,44000.0,63500.0,1.0,0.0,0.0,HealthEquity,3.7,6.0,10.0,Full-time,"healthinsurance,gymmembership,paidparentalleave,tuitionreimbursement,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,visioninsurance,parentalleave,401(k),flexiblespendingaccount,wellnessprogram","oracle,it,associate'sdegree,engineering,computerscience,datamanagement,sql,microsoftsqlserver,1year,editing",https://www.simplyhired.com/job/18mUVdx-eUF_YMlzcd_1UTODOnsrqCZnV_BJ2VbhJ432jwT381-8jg,Analyst,,,10,13,53750.0,1
15,Entry Level Data Analyst,83000.0,105000.0,0.0,0.0,1.0,CORMAC,3.0,22.0,9.0,nan,flexibleschedule,"c++,computerscience,distributedsystems,machinelearning,master'sdegree,datascience,sas,11+years,hadoop,associate'sdegree,analysisskills,bachelor'sdegree,statistics,agile,python,relationaldatabases,java,computerskills,it,sql,r,databases",https://www.simplyhired.com/job/NWV9zwmUJ85_XLOoOeZTJsrnmE8nPVyW77Xo4RXG2XPu788WBd8TqQ,Analyst,junior,,22,1,94000.0,0
16,Applications Analyst I,63300.0,80200.0,0.0,0.0,1.0,CCMR3,1.0,,,Full-time,nan,"technicalsupport,computerscience,sql,communicationskills,softwaredevelopment,bachelor'sdegree,softwaretroubleshooting",https://www.simplyhired.com/job/GPR6xk8fTdodMiEVtP0KHc7xoBdRELZn-0XQw1CY6lNknz32bbeO4w,Analyst,,,7,0,71750.0,1
17,Regional Data Integration Specialist I,46400.0,63750.0,0.0,0.0,1.0,Renaissance,3.4,6.0,10.0,Full-time,"healthinsurance,disabilityinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,parentalleave,401(k),flexiblespendingaccount,visioninsurance","customerservice,associate'sdegree,computerscience,sql,1year,databases,relationaldatabases",https://www.simplyhired.com/job/qW5Wt9wjHEjWo_ju69a9s1lXZqpW2i3rlLAvBaIRy0SX2fGftVMR2w,Others,,,7,10,55075.0,1
18,Technical Support Expert - Level 1 - Remote Monitoring and Management (RMM) - (6am - 230pm),64800.0,82100.0,0.0,0.0,1.0,Kaseya Careers,3.8,26.0,9.0,nan,nan,"itinfrastructure,windows,it,shellscripting,activedirectory,businessadministration,business,operatingsystems,associate'sdegree,computerscience,linux,computernetworking,bachelor'sdegree,virtualization,customersupport,computerliteracy",https://www.simplyhired.com/job/kx1ZXnsw-ox7OVtY0H-snTwDZvl42pVaXMExUQEP6Tj5NuoecG_Mfg,Others,senior,Remote,16,0,73450.0,0
19,Software Tester,110000.0,120000.0,0.0,0.0,1.0,"WhirlWind Technologies, LLC",4.3,30.0,9.0,Full-time,nan,"java,javascript,computerscience,mysql,jira,management,react,softwaretesting,master'sdegree,bachelor'sdegree,vpn",https://www.simplyhired.com/job/si0ZxFsCWpHqSAMz2ql_9NQcTRcBKi_h53dOdmC6rwsQGM-No3AjrA,Others,,,11,0,115000.0,1
20,Junior Developer,57100.0,72200.0,0.0,0.0,1.0,"Technology Solutions Provider, Inc.",,,,Full-time,nan,"java,agile,computerscience,git,applicationdevelopment,organizationalskills,communicationskills",https://www.simplyhired.com/job/XH46FKBRkAGlNw14y4ZK0P5i__RcYRSTa0Zyh94k88S0aFS-QOpDXQ,Software Developer,junior,,7,0,64650.0,1
21,Selenium (Manual/Automation Tester) - Fresher,83100.0,105000.0,0.0,0.0,1.0,H2kinfosys,4.5,,,Full-time,nan,"qualityassurance,selenium,softwaretesting,sdlc,communicationskills,softwarequalityassurance",https://www.simplyhired.com/job/OXlKY31AekFyembufRqOTHEGxvMvMF_6Yk8GsGBAW_r1dRHZXyr7AA,Others,,,6,0,94050.0,1
22,Customer Support Specialist (Remote),65000.0,110000.0,0.0,0.0,1.0,CrowdStrike,3.5,6.0,10.0,Full-time,"healthinsurance,paidparentalleave,parentalleave","writingskills,informationsecurity,it,agile,lms,customerrelationshipmanagement,under1year,management,analysisskills,communicationskills,timemanagement,military,bachelor'sdegree,helpdesk,salesforce,customersupport,projectmanagementsoftware,leadership",https://www.simplyhired.com/job/V5ePB9FMuz811GQfbgZqbLyIXyM3oUM5D1H7wdYrbqly3hIHStZVPA,Others,senior,Remote,18,3,87500.0,1
