,0
0,IT
1,MCP
2,COMPUTERSCIENCE
3,MCITP
4,2YEARS
5,BACHELOR'SDEGREE
6,MCSE
7,WRITINGSKILLS
8,SALES
9,FINANCE
10,FIGMA
11,UNDER1YEAR
12,TRAINING&DEVELOPMENT
13,ATS
14,LEVER
15,MACHINELEARNING
16,ORGANIZATIONALSKILLS
17,SOFTWAREDEVELOPMENT
18,APIS
19,BACHELOR'SDEGREE
20,MARKETING
21,COMMUNICATIONSKILLS
22,QUICKBOOKS
23,CANVA
24,COMPUTERSKILLS
25,CUSTOMERSERVICE
26,MICROSOFTWORD
27,MICROSOFTOFFICE
28,MICROSOFTEXCEL
29,ASSOCIATE'SDEGREE
30,COMPUTERSCIENCE
31,MICROSOFTPOWERPOINT
32,COMMUNICATIONSKILLS
33,1YEAR
34,SOFTWARETROUBLESHOOTING
35,AZURE
36,CUSTOMERSERVICE
37,IT
38,DNS
39,COMPUTERSCIENCE
40,3YEARS
41,MANAGEMENT
42,ITSUPPORT
43,2YEARS
44,BACHELOR'SDEGREE
45,APIS
46,SOFTWARETROUBLESHOOTING
47,ENGLISH
48,COMPUTERSKILLS
49,MOBILEDEVICES
50,BACHELOROFSCIENCE
51,COMMUNICATIONSKILLS
52,BACHELOR'SDEGREE
53,SOFTWARETROUBLESHOOTING
54,COMPUTERENGINEERING
55,CUSTOMERSERVICE
56,SOFTWAREENGINEERING
57,COMPUTERSCIENCE
58,SOFTWARETESTING
59,CONVERSIONOPTIMIZATION
60,AI
61,COMMUNICATIONSKILLS
62,BACHELOR'SDEGREE
63,ENGLISH
64,CUSTOMERSERVICE
65,WRITINGSKILLS
66,COMPUTERSCIENCE
67,BACHELOR'SDEGREE
68,COMPUTERENGINEERING
69,BACHELOR'SDEGREE
70,VISUALBASIC
71,COMPUTERSCIENCE
72,VISUALSTUDIO
73,ANALYSISSKILLS
74,COMMUNICATIONSKILLS
75,SOFTWAREENGINEERING
76,APIS
77,ORACLE
78,AGILE
79,MICROSOFTEXCEL
80,COMPUTERSCIENCE
81,5YEARS
82,SQL
83,JIRA
84,REGRESSIONANALYSIS
85,MANAGEMENT
86,SDLC
87,COMMUNICATIONSKILLS
88,BACHELOR'SDEGREE
89,DATABASES
90,SOFTWARETROUBLESHOOTING
91,TIMEMANAGEMENT
92,TESTAUTOMATION
93,IT
94,UI
95,IAT
96,COMPUTERSCIENCE
97,5YEARS
98,SECRETCLEARANCE
99,SQL
100,IATLEVELII
101,MANAGEMENT
102,SOFTWARETESTING
103,VERSIONONE
104,BACHELOR'SDEGREE
105,1YEAR
106,MICROSOFTEXCEL
107,COMPUTERSCIENCE
108,SQL
109,TABLEAU
110,ANALYSISSKILLS
111,DATAVISUALIZATION
