,0
0,Full-time
1,Full-time
2,Full-time
3,Full-time
4,Full-time
5,Full-time
6,Full-time
7,Full-time
8,Full-time
9,Full-time
10,Full-time
11,Full-time
12,Full-time
13,Full-time
14,Full-time
15,Full-time
16,Full-time
17,Full-time
18,Full-time
19,Full-time
20,Full-time
21,Full-time
22,Full-time
23,Full-time
24,Full-time
25,Full-time
26,Full-time
27,Full-time
28,Full-time
29,Full-time
30,Full-time
31,Contract
32,Full-time
33,Full-time
34,Full-time
35,Full-time
36,Full-time
37,Full-time
38,Full-time
39,Full-time
40,Full-time
41,Full-time
42,Permanent
43,Full-time
44,Full-time
45,Full-time
46,Apprenticeship
47,Full-time
48,Full-time
49,Full-time
50,Full-time
51,Full-time
52,Full-time
53,Full-time
54,Full-time
55,Full-time
56,Full-time
57,Full-time
58,Full-time
59,Full-time
60,Full-time
61,Contract
62,Full-time
63,Full-time
64,Full-time
65,Part-time
66,Full-time
67,Full-time
68,Full-time
69,Full-time
70,Full-time
71,Full-time
72,Full-time
73,Full-time
74,Full-time
75,Full-time
76,Full-time
77,Full-time
78,Full-time
79,Full-time
80,Full-time
81,Full-time
82,Full-time
83,Full-time
84,Part-time
85,Full-time
86,Full-time
87,Full-time
88,Part-time
89,Full-time
90,Full-time
91,Full-time
92,Full-time
93,Full-time
94,Full-time
95,Full-time
96,Full-time
97,Full-time
98,Full-time
99,Full-time
100,Full-time
101,Full-time
102,Full-time
103,Full-time
104,Full-time
105,Full-time
106,Full-time
107,Full-time
108,Full-time
109,Full-time
110,Full-time
111,Full-time
112,Full-time
113,Full-time
114,Full-time
115,Full-time
116,Contract
117,Full-time
118,Full-time
119,Full-time
120,Contract
121,Full-time
122,Full-time
123,Full-time
124,Part-time
125,Full-time
126,Full-time
127,Full-time
128,Full-time
129,Full-time
130,Full-time
131,Full-time
132,Full-time
133,Full-time
134,Contract
135,Full-time
136,Full-time
137,Full-time
138,Full-time
139,Full-time
140,Full-time
141,Full-time
142,Full-time
143,Full-time
144,Full-time
145,Full-time
146,Full-time
147,Full-time
148,Full-time
149,Full-time
150,Full-time
151,Full-time
152,Contract
153,Full-time
154,Full-time
155,Contract
156,Full-time
157,Full-time
158,Contract
159,Full-time
160,Full-time
161,Contract
162,Full-time
163,Full-time
164,Full-time
165,Full-time
166,Full-time
167,Temporary
168,Full-time
169,Contract
170,Full-time
171,Full-time
172,Full-time
173,Part-time
174,Full-time
175,Full-time
176,Full-time
177,Full-time
178,Full-time
179,Full-time
180,Contract
181,Full-time
182,Full-time
183,Part-time
184,Full-time
185,Full-time
186,Full-time
187,Full-time
188,Full-time
189,Full-time
190,Full-time
191,Full-time
192,Full-time
193,Full-time
194,Full-time
195,Part-time
196,Full-time
197,Full-time
198,Full-time
199,Full-time
200,Full-time
201,Full-time
202,Full-time
203,Full-time
204,Contract
205,Contract
206,Full-time
207,Full-time
208,Full-time
209,Contract
210,Full-time
211,Full-time
212,Full-time
213,Full-time
214,Full-time
215,Full-time
216,Full-time
217,Full-time
