,0
0,MCITP
1,2YEARS
2,MCSE
3,IT
4,BACHELOR'SDEGREE
5,MCP
6,COMPUTERSCIENCE
7,FIGMA
8,MACHINELEARNING
9,WRITINGSKILLS
10,CANVA
11,ORGANIZATIONALSKILLS
12,SALES
13,ATS
14,APIS
15,TRAINING&DEVELOPMENT
16,COMMUNICATIONSKILLS
17,MARKETING
18,UNDER1YEAR
19,FINANCE
20,BACHELOR'SDEGREE
21,QUICKBOOKS
22,SOFTWAREDEVELOPMENT
23,LEVER
24,MICROSOFTEXCEL
25,MICROSOFTOFFICE
26,1YEAR
27,COMPUTERSCIENCE
28,COMMUNICATIONSKILLS
29,SOFTWARETROUBLESHOOTING
30,CUSTOMERSERVICE
31,COMPUTERSKILLS
32,MICROSOFTWORD
33,MICROSOFTPOWERPOINT
34,ASSOCIATE'SDEGREE
35,APIS
36,2YEARS
37,DNS
38,IT
39,SOFTWARETROUBLESHOOTING
40,AZURE
41,BACHELOR'SDEGREE
42,CUSTOMERSERVICE
43,3YEARS
44,ITSUPPORT
45,COMPUTERSCIENCE
46,MANAGEMENT
47,BACHELOROFSCIENCE
48,ENGLISH
49,COMMUNICATIONSKILLS
50,SOFTWARETROUBLESHOOTING
51,BACHELOR'SDEGREE
52,MOBILEDEVICES
53,COMPUTERSKILLS
54,AI
55,COMMUNICATIONSKILLS
56,SOFTWARETESTING
57,COMPUTERENGINEERING
58,BACHELOR'SDEGREE
59,CUSTOMERSERVICE
60,SOFTWAREENGINEERING
61,COMPUTERSCIENCE
62,CONVERSIONOPTIMIZATION
63,ENGLISH
64,WRITINGSKILLS
65,BACHELOR'SDEGREE
66,CUSTOMERSERVICE
67,COMPUTERSCIENCE
68,APIS
69,VISUALBASIC
70,COMMUNICATIONSKILLS
71,COMPUTERENGINEERING
72,BACHELOR'SDEGREE
73,ANALYSISSKILLS
74,SOFTWAREENGINEERING
75,COMPUTERSCIENCE
76,VISUALSTUDIO
77,TIMEMANAGEMENT
78,JIRA
79,ORACLE
80,MICROSOFTEXCEL
81,SDLC
82,AGILE
83,DATABASES
84,COMMUNICATIONSKILLS
85,SOFTWARETROUBLESHOOTING
86,SQL
87,BACHELOR'SDEGREE
88,REGRESSIONANALYSIS
89,5YEARS
90,COMPUTERSCIENCE
91,MANAGEMENT
92,UI
93,1YEAR
94,TESTAUTOMATION
95,SOFTWARETESTING
96,IT
97,SQL
98,SECRETCLEARANCE
99,BACHELOR'SDEGREE
100,IAT
101,IATLEVELII
102,VERSIONONE
103,5YEARS
104,COMPUTERSCIENCE
105,MANAGEMENT
106,MICROSOFTEXCEL
107,POWERBI
108,COMMUNICATIONSKILLS
109,SQL
110,BACHELOR'SDEGREE
111,DATAVISUALIZATION
112,ANALYSISSKILLS
113,TABLEAU
114,COMPUTERSCIENCE
115,DATABASES
116,COMMUNICATIONSKILLS
117,UNDER1YEAR
118,SOFTWARETROUBLESHOOTING
119,BACHELOR'SDEGREE
120,ANALYSISSKILLS
121,RELATIONALDATABASES
122,COMPUTERSCIENCE
123,DATAMODELING
124,STATISTICS
125,MICROSOFTEXCEL
126,KAFKA
127,MYSQL
128,AZURE
129,TABLEAU
130,SCRIPTING
131,WAREHOUSEEXPERIENCE
132,REDSHIFT
133,SQL
134,BACHELOR'SDEGREE
135,ANALYTICS
136,APACHEHIVE
137,COMPUTERSKILLS
138,PYTHON
139,DATAWAREHOUSE
140,POSTGRESQL
141,CASSANDRA
142,ETL
143,COMPUTERSCIENCE
144,REGRESSIONANALYSIS
145,JIRA
146,BUSINESS
147,APIS
148,INFORMATIONSYSTEMS
149,SDLC
150,AGILE
151,WEBSERVICES
152,MICROSOFTOFFICE
153,SCRUM
154,BUSINESSADMINISTRATION
155,1YEAR
156,IT
157,AZURE
158,MASTER'SDEGREE
159,BACHELOR'SDEGREE
160,2YEARS
161,MASTEROFBUSINESSADMINISTRATION
162,COMPUTERSCIENCE
163,ORACLE
164,MICROSOFTSQLSERVER
165,ENGINEERING
166,1YEAR
167,IT
168,DATAMANAGEMENT
169,SQL
170,EDITING
171,COMPUTERSCIENCE
172,ASSOCIATE'SDEGREE
173,MACHINELEARNING
174,DATASCIENCE
175,DISTRIBUTEDSYSTEMS
176,11+YEARS
177,R
178,STATISTICS
179,JAVA
180,DATABASES
181,C++
182,ANALYSISSKILLS
183,ASSOCIATE'SDEGREE
184,IT
185,SAS
186,SQL
187,BACHELOR'SDEGREE
188,COMPUTERSKILLS
189,PYTHON
190,HADOOP
191,AGILE
192,MASTER'SDEGREE
193,RELATIONALDATABASES
194,COMPUTERSCIENCE
195,TECHNICALSUPPORT
